No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0001,STN0036,STN0051,STN0141,STN0249,STN0255,STN0523,ls_prob
5042317,Grass,2,38.27968216,48.58134076187787,0,19.9298861988099,99.0553984655108,14268.26299,29846.30462,14558.25264,18521.81191,21086.44804,6757.808557,27145.16096,0.7130228
5042320,Grass,2,38.27968216,48.57005413143002,0,19.9298861801851,99.0554581875327,14262.21229,29841.14882,14556.63389,18515.9354,21081.00605,6758.820762,27139.42472,0.7130228
5045110,Grass,2,37.98616791,48.6672362619681,0,19.9297846021923,99.055183430939,14292.88239,29871.23279,14553.23535,18546.8113,21111.58102,6743.098737,27161.34107,0.70755565
5045113,Grass,2,37.98616791,48.656013723032544,0,19.9297845836399,99.055243152923,14286.83226,29866.07658,14551.60637,18540.93512,21106.13884,6744.092281,27155.60307,0.70755565
5045114,Grass,2,39.20904922,48.647020163492854,0,19.9297845687835,99.0552909305101,14281.99229,29861.95191,14550.30499,18536.23436,21101.78543,6744.891185,27151.01282,0.7303324
5045116,Grass,2,38.27968216,48.606548512231505,0,19.9298297190877,99.0553984458275,14269.83961,29849.84191,14552.21374,18523.948,21089.52706,6751.638148,27142.674,0.7130228
5045117,Grass,2,39.20904922,48.63575881326744,0,19.929784550195,99.0553506524939,14275.94247,29856.79644,14548.68053,18530.35862,21096.34406,6745.894896,27145.27523,0.730332
5045118,Grass,2,39.48073578,48.62673423888566,0,19.9297845353097,99.0553984300809,14271.10275,29852.67238,14547.38276,18525.65821,21091.99129,6746.70193,27140.68531,0.73476315
5045119,Grass,2,38.27968216,48.595254418667025,0,19.929829700463,99.0554581678282,14263.78957,29844.68671,14550.59432,18518.07217,21084.08587,6752.651278,27136.93724,0.7130228
5045120,Grass,2,39.48073578,48.61543416517503,0,19.9297845166851,99.0554581520646,14265.05325,29847.51767,14545.7628,18519.78292,21086.55074,6747.715801,27134.94812,0.73461896
5045179,Grass,2,39.33084869,48.29754212382548,0,19.9297839985618,99.0570945343914,14099.3659,29706.44271,14502.35443,18358.89691,20937.65592,6777.681425,26977.83829,0.7183067
5045183,Grass,2,39.33084869,48.2856420495937,0,19.9297839793672,99.0571542563732,14093.32146,29701.30001,14500.80601,18353.02873,20932.2283,6778.854448,26972.10762,0.714985
5047918,Grass,2,37.98616791,48.69251953467981,0,19.9297281224693,99.0551834113322,14294.46121,29874.76948,14547.19921,18548.94831,21114.65971,6736.925301,27158.85819,0.70755565
5047920,Grass,2,37.83504105,48.69252577497934,0,19.929682905282,99.0552908951492,14284.83818,29868.32056,14539.43788,18540.08451,21107.33066,6733.782063,27146.54281,0.70474064
5047921,Grass,2,37.98616791,48.6812896374181,0,19.929728103917,99.055243133295,14288.41175,29869.61388,14545.56956,18543.07281,21109.21833,6737.919756,27153.11966,0.70755565
5047922,Grass,2,39.20904922,48.67229016274689,0,19.9297280890606,99.0552909108651,14283.57231,29865.48969,14544.26764,18538.37259,21104.86555,6738.719391,27148.529,0.730333
5047923,Grass,2,37.83504105,48.68125104399624,0,19.9296828866936,99.0553506170948,14278.78957,29863.1662,14537.8122,18534.20999,21101.89072,6734.78743,27140.80427,0.70474064
5047924,Grass,2,37.83504105,48.672215710423,0,19.9296828718084,99.0553983946513,14273.95081,29859.04301,14536.51346,18529.51056,21097.53909,6735.595795,27136.2136,0.70474064
5047925,Grass,2,39.20904922,48.661021389395174,0,19.9297280704722,99.0553506328277,14277.52317,29860.33484,14542.6425,18532.49753,21099.42498,6739.724022,27142.79087,0.7303328
5047926,Grass,2,39.48073578,48.65199084436322,0,19.9297280555869,99.0553984103978,14272.68398,29856.21126,14541.34419,18527.79766,21095.07284,6740.531794,27138.20054,0.734996
5047927,Grass,2,37.83504105,48.66090213319946,0,19.9296828531839,99.0554581165968,14267.90252,29853.88941,14534.89229,18523.63649,21092.09997,6736.611337,27130.47546,0.70474064
5047928,Grass,2,38.11327362,48.65183574626598,0,19.9296828382698,99.0555058941531,14263.06401,29849.76682,14533.59716,18518.93741,21087.74899,6737.427839,27125.88512,0.7099232
5047929,Grass,2,39.48073578,48.64068327560446,0,19.9297280369623,99.0554581323602,14266.63515,29851.05717,14539.72356,18521.92305,21089.63308,6741.546593,27132.46283,0.7349049
5047931,Grass,2,38.11327362,48.6405402129933,0,19.9296828197025,99.0555653174888,14257.04628,29844.63973,14531.98859,18513.09316,21082.33787,6738.448406,27120.17608,0.7099232
5047933,Grass,2,38.11327362,48.631386035821336,0,19.9296828046661,99.0556133936548,14252.17779,29840.49199,14530.689,18508.36507,21077.96036,6739.27818,27115.55738,0.7099232
5047934,Grass,2,38.80326462,48.62227491998871,0,19.9296827897103,99.055661171211,14247.33965,29836.37028,14529.39909,18503.66651,21073.61032,6740.106423,27110.96751,0.72277546
5047937,Grass,2,38.80326462,48.61086671117889,0,19.9296827709974,99.0557208931562,14241.29213,29831.21853,14527.78897,18497.79354,21068.17318,6741.146803,27105.23038,0.72277546
5047938,Grass,2,39.48073578,48.60172470950285,0,19.9296827560127,99.0557686707123,14236.45425,29827.09742,14526.50268,18493.09533,21063.8238,6741.983166,27100.64084,0.7343993
5047941,Grass,2,39.48073578,48.590277927958894,0,19.9296827372638,99.0558283926574,14230.40705,29821.94642,14524.89708,18487.2228,21058.38747,6743.033692,27094.90412,0.73416895
5047987,Grass,2,39.33084869,48.322571344441606,0,19.9297275188406,99.0570945141056,14100.96639,29709.99902,14496.2971,18361.05579,20940.76019,6771.539518,26975.33851,0.72341514
5047991,Grass,2,39.33084869,48.31066272997071,0,19.9297274996461,99.0571542360662,14094.92264,29704.85693,14494.74803,18355.1883,20935.33336,6772.713604,26969.60732,0.7212596
5050440,Grass,2,37.83504105,48.71683154275572,0,19.9296286847474,99.0552908762901,14286.35938,29871.71836,14533.64233,18542.14038,21110.28997,6727.857395,27144.16041,0.70474064
5050441,Grass,2,37.83504105,48.70554965098313,0,19.929628666159,99.0553505982154,14280.31142,29866.56458,14532.016,18536.26652,21104.8508,6728.863648,27138.42136,0.70474064
5050442,Grass,2,37.83504105,48.69650855907808,0,19.9296286512739,99.0553983757556,14275.47317,29862.44186,14530.71674,18531.56761,21100.49978,6729.672724,27133.83029,0.70474064
5050443,Grass,2,37.83504105,48.68518775110128,0,19.9296286326494,99.0554580976807,14269.42553,29857.28884,14529.09493,18525.69419,21095.06142,6730.68916,27128.09165,0.70474064
5050444,Grass,2,38.11327362,48.67611555951975,0,19.9296286177354,99.0555058752207,14264.58754,29853.16673,14527.79928,18520.99564,21090.71105,6731.50638,27123.5009,0.7099232
5050445,Grass,2,38.11327362,48.66481276317487,0,19.9296285991681,99.0555652985361,14258.57045,29848.04023,14526.19007,18515.15203,21085.30069,6732.527845,27117.79137,0.7099232
5050446,Grass,2,38.11327362,48.65565268229158,0,19.9296285841318,99.0556133746857,14253.70247,29843.89296,14524.88996,18510.42447,21080.92379,6733.358348,27113.17226,0.7099232
5050447,Grass,2,38.80326462,48.646535685161346,0,19.929628569176,99.0556611522256,14248.86485,29839.77172,14523.59953,18505.72644,21076.57437,6734.187319,27108.58198,0.72277546
5050448,Grass,2,38.80326462,48.635120083613266,0,19.9296285504632,99.0557208741505,14242.81799,29834.62055,14521.98877,18499.85411,21071.13799,6735.228614,27102.84435,0.72277546
5050449,Grass,2,39.48073578,48.62597213839412,0,19.9296285354786,99.0557686516903,14237.98062,29830.49991,14520.70197,18495.15643,21066.78922,6736.065712,27098.2544,0.7347544
5050450,Grass,2,39.48073578,48.61451790622761,0,19.9296285167296,99.055828373615,14231.93407,29825.3495,14519.09573,18489.28456,21061.35366,6737.11716,27092.51717,0.73460597
5052170,Grass,2,37.83504105,48.73811973503426,0,19.9295812417794,99.0552908597885,14287.69237,29874.6921,14528.57136,18543.94068,21112.88043,6722.673424,27142.07672,0.70474064
5052173,Grass,2,37.83504105,48.726831556919294,0,19.929581223191,99.0553505816959,14281.64497,29869.53884,14526.94447,18538.06739,21107.44192,6723.680453,27136.33724,0.70474064
5052174,Grass,2,37.83504105,48.71778541966171,0,19.9295812083059,99.0553983592218,14276.80718,29865.41653,14525.64475,18533.36894,21103.09144,6724.490153,27131.74581,0.70474064
5052177,Grass,2,37.83504105,48.706458268520414,0,19.9295811896815,99.0554580811292,14270.7601,29860.26402,14524.02237,18527.49609,21097.65375,6725.507372,27126.00673,0.70474064
5052178,Grass,2,38.11327362,48.69738097690092,0,19.9295811747675,99.055505858655,14265.92256,29856.14232,14522.72627,18522.79799,21093.30392,6726.325222,27121.41563,0.7099232
5052180,Grass,2,38.11327362,48.68607181656768,0,19.9295811562003,99.0555652819526,14259.90603,29851.01633,14521.11649,18516.95496,21087.89422,6727.347473,27115.70566,0.7099232
5052183,Grass,2,38.11327362,48.67690656513287,0,19.929581141164,99.0556133580878,14255.03852,29846.86947,14519.81593,18512.22786,21083.51786,6728.178616,27111.08619,0.7099232
5052184,Grass,2,38.80326462,48.66778440207917,0,19.9295811262083,99.0556611356135,14250.20135,29842.74865,14518.52506,18507.53028,21079.16897,6729.008225,27106.49557,0.72277546
5052187,Grass,2,38.80326462,48.656362320213894,0,19.9295811074955,99.0557208575205,14244.15505,29837.59799,14516.91373,18501.65853,21073.73326,6730.05032,27100.75749,0.72277546
5052188,Grass,2,39.48073578,48.647209168446274,0,19.9295810925109,99.0557686350461,14239.31814,29833.47777,14515.62648,18496.96131,21069.38503,6730.888063,27096.16719,0.7349597
5052191,Grass,2,39.48073578,48.63574839553962,0,19.929581073762,99.055828356953,14233.27216,29828.32787,14514.01967,18491.09001,21063.95014,6731.94032,27090.42952,0.7348588
5052212,Grass,2,38.35110092,48.53311929085329,0,19.9295356900119,99.0564613931133,14170.47762,29776.60723,14492.30257,18430.59614,21008.84883,6738.518779,27027.63235,0.71435314
5052215,Grass,2,38.35110092,48.521463236398375,0,19.9295356711253,99.056520816393,14164.46449,29771.48845,14490.73236,18424.75765,21003.44701,6739.631526,27021.92559,0.71435314
5052217,Grass,2,38.35110092,48.51201761233964,0,19.9295356558306,99.0565688925137,14159.59973,29767.34743,14489.46382,18420.03422,20999.07703,6740.535856,27017.30873,0.71435314
5055048,Grass,2,38.35110092,48.55835519499338,0,19.9294792102886,99.0564613730527,14172.08222,29780.16093,14486.25291,18432.75595,21011.95076,6732.366693,27025.14355,0.71435314
5055050,Grass,2,38.35110092,48.54669092304889,0,19.929479191402,99.0565207963113,14166.06977,29775.04276,14484.68205,18426.91814,21006.54974,6733.480457,27019.43627,0.71435314
5055053,Grass,2,38.35110092,48.53723862552909,0,19.9294791761073,99.0565688724149,14161.20556,29770.90224,14483.41298,18422.19527,21002.1804,6734.385613,27014.81898,0.71435314
5055082,Grass,2,39.00533676,48.38835587676655,0,19.9294337203977,99.0574169066108,14076.71598,29700.76123,14456.44864,18340.65019,20927.64827,6746.041373,26931.39873,0.7265353
5055085,Grass,2,39.00533676,48.37635002554697,0,19.9294337011917,99.0574763298514,14070.70701,29695.65033,14454.91759,18334.81699,20922.25523,6747.245121,26925.69468,0.7265342
5055087,Grass,2,39.00533676,48.36662168037805,0,19.9294336856387,99.0575244059405,14065.84562,29691.51569,14453.68075,18330.09786,20917.89236,6748.223048,26921.08002,0.72653294
5057947,Grass,2,39.00533676,48.413503260293666,0,19.9293772406747,99.0574168862109,14078.33626,29704.32637,14450.38885,18342.82443,20930.7656,6739.906595,26928.90364,0.72653705
5057949,Grass,2,39.00533676,48.40148857233948,0,19.9293772214687,99.0574763094304,14072.32798,29699.21609,14448.85716,18336.99192,20925.37336,6741.111439,26923.19907,0.72653633
5057952,Grass,2,39.00533676,48.39175305721347,0,19.9293772059157,99.0575243855023,14067.46715,29695.08195,14447.61979,18332.27335,20921.01114,6742.090255,26918.58398,0.7265357
5057955,Grass,2,37.72885132,48.38032267453733,0,19.929331971815,99.0576796458616,14053.06894,29684.58626,14438.78461,18318.77758,20909.42175,6740.372577,26901.68207,0.7027627
5057958,Grass,2,37.72885132,48.36814885309688,0,19.9293319524243,99.0577393676729,14047.03186,29679.45268,14437.2559,18312.91746,20904.00512,6741.60892,26895.94942,0.7027627
5060785,Grass,2,37.72885132,48.40547863737206,0,19.9292754920916,99.0576796253684,14054.69696,29688.15572,14432.72227,18320.95826,20912.54516,6734.243084,26899.18685,0.7027627
5060787,Grass,2,37.72885132,48.39329573428257,0,19.9292754727009,99.0577393471585,14048.66057,29683.02276,14431.19292,18315.09884,20907.12934,6735.480552,26893.45367,0.7027627
5060788,Grass,2,38.65980911,48.40366529290014,0,19.929230273395,99.0577871081655,14045.13689,29681.77379,14425.1206,18312.15839,20905.29792,6731.572736,26886.87123,0.7201033
5060790,Grass,2,38.65980911,48.39143768208502,0,19.9292302539682,99.0578468299385,14039.1014,29676.64209,14423.59533,18306.3,20899.88358,6732.821147,26881.13805,0.7201033
5063288,Grass,2,38.65980911,48.42784481138576,0,19.9291760528599,99.0577870884555,14046.70542,29685.20305,14419.29993,18314.25624,20908.30018,6725.690763,26884.47699,0.7201033
5063289,Grass,2,38.65980911,48.415608385227635,0,19.9291760334332,99.0578468102082,14040.67061,29680.07194,14417.77404,18308.39852,20902.88663,6726.940266,26878.74329,0.7201033
5065096,Grass,2,38.65980911,48.44902207308781,0,19.9291286098915,99.0577870712093,14048.07985,29688.20432,14414.20696,18316.09329,20910.92823,6720.544212,26882.38295,0.7201033
5065098,Grass,2,38.65980911,48.43677791057356,0,19.9291285904649,99.0578467929441,14042.04563,29683.07374,14412.68053,18310.23615,20905.51535,6721.794671,26876.6488,0.7201033
5104725,Grass,2,39.50971222,48.85747112342647,0,19.9277275638464,99.0588495995607,13982.41762,29686.10783,14236.82394,18267.01876,20893.04277,6592.296013,26718.68102,0.7359207
5104727,Grass,2,39.50971222,48.844673189361835,0,19.927727544163,99.058909022162,13976.43491,29681.02586,14235.33485,18261.21317,20887.6855,6593.669415,26712.9665,0.7359167
5107713,Grass,2,39.50971222,48.883200354123325,0,19.9276710841139,99.0588495786536,13984.13326,29689.7145,14230.75358,18269.26638,20896.22176,6586.197285,26716.21026,0.73592645
5107715,Grass,2,39.50971222,48.870391939878566,0,19.9276710644306,99.0589090012338,13978.15128,29684.63315,14229.26386,18263.46151,20890.8653,6587.571959,26710.49522,0.735924
